neighbourhood,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,review_scores_rating,price
Gràcia,41.39894,2.16061,Private room,2,2.0,1.0,1.0,97.0,55.0
Ciutat Vella,41.37652,2.1706,Private room,3,1.0,1.0,1.0,96.0,30.0
Ciutat Vella,41.3781,2.17466,Private room,2,1.0,1.0,1.0,93.0,32.0
Ciutat Vella,41.37795,2.16614,Entire home/apt,2,1.0,0.0,1.0,93.0,44.0
El Besòs i el Maresme,41.41276,2.21993,Private room,1,1.0,1.0,1.0,93.0,23.0
Gràcia,41.40784,2.16232,Entire home/apt,6,2.0,3.0,6.0,93.0,50.0
Eixample,41.39321,2.16418,Private room,4,0.5,1.0,4.0,93.0,250.0
El Baix Guinardó,41.40811,2.16852,Private room,1,1.0,1.0,1.0,87.0,25.0
Eixample,41.39524,2.15356,Entire home/apt,12,6.0,6.0,6.0,99.0,300.0
Ciutat Vella,41.3808,2.16576,Private room,3,1.0,2.0,2.0,97.0,76.0
Sants-Montjuïc,41.37585,2.14706,Entire home/apt,4,1.0,2.0,4.0,96.0,75.0
Sants-Montjuïc,41.37183,2.16384,Private room,3,1.5,1.0,2.0,92.0,26.0
Eixample,41.39268,2.16666,Private room,2,1.0,1.0,1.0,100.0,35.0
Camp d'en Grassot i Gràcia Nova,41.40763,2.16778,Private room,1,1.0,1.0,1.0,93.0,25.0
El Poble-sec,41.37146,2.16337,Private room,2,1.0,1.0,1.0,93.0,60.0
Eixample,41.40569,2.17175,Private room,1,1.0,1.0,1.0,95.0,45.0
el Fort Pienc,41.40144,2.18291,Private room,2,1.5,2.0,1.0,90.0,35.0
La Nova Esquerra de l'Eixample,41.38884,2.16084,Private room,2,1.0,1.0,1.0,93.0,125.0
Eixample,41.38716,2.16695,Entire home/apt,9,2.0,4.0,8.0,100.0,395.0
Sant Gervasi - Galvany,41.39648,2.14868,Private room,1,1.0,1.0,1.0,80.0,25.0
Les Corts,41.38524,2.13652,Private room,2,1.5,1.0,1.0,90.0,37.0
Ciutat Vella,41.37891,2.1645,Private room,2,1.0,1.0,1.0,92.0,50.0
Ciutat Vella,41.38463,2.17994,Entire home/apt,2,1.0,1.0,1.0,81.0,243.0
